Numéro,Artiste,Paroles
11,poopy,"ANDAO HANDIHY

Falifaly ny aty
Falifaly tokoa
Ireo tanora mandihy
Fenofeno ny fo
Ravoravo izay tsy izy
Jejojeo sy sahy
Na lehibe na ankizy
Ireo izay tia manaraha

Hasakasakareo izay efa leo
Ny tsy hampiseho 
ny hafaliana ao am-ponareo
Ilay fo tanora entinay
Tsy ho avelanay
Hangatsiaka sy hangahiahy

POOPY        --------"
12,poopy,"Andro hafa noho ireo efa niainanao
Ilay fotoana iavian’ny Mpamonjy ety
HO sahy hiandrandra hibanjina ny lanitra
Sa hiondrika hiery ilay fijeriny ?

Ireo famantarana efa tsapanao ve ?
Manambara tokoa fa ho avy izy izao
Avelao izay rehetra misakana anao
Tsy hahavonona anao anio

Fiv (in-2)
Saino re raha mandre ireo teny manambara hoe
Efa akaiky izy izao
Miomana ianao
Mendrika ve ny toetranao ?        --------"
13,poopy,"Efa hitanao miharihary izao
Ny tsy mety ataonao
Aza mamorona indray
     Tsapako eto fa
     ’Reo toky izay nataonao
     Ts’isy lanja taminao
     Vazivazy ka natao


Koa andeha ianao
Zory izao ny dia
Izaho tsy hoe hifikitra aminao
Avelao aho rehefa tsy tianao
Tsy ho lany andro eto aminao


     Ambarao raha toa 
     Tsy tia intsony ianao
     Hanamboarako ity fo
     Mba tsy halahelo anao
         Any an-kafa indray 
         Mandehana mamitaka
         F’efa reraka aho izao
         Leon’ny hitsakitsakao

Tsofi-drano ianao
Hanao ’zay tianao
Mahazoa izay irinao
La! la! la! la! ...
Mahazoa ’zay irinao

 (1988)        --------"
14,poopy,"REFRAIN:Nandalo teo toa nitady hono ianao
        Nidobodoboka ny foko injao 
        Ho to ihany ve ilay faniriako 
        Ka ho tia ahy koa ilay olona tiako
        Izany izaho toa tsy mandia tany
        Ka sady faly no toa te hitomany
        Mihovitrovitra ny anaty rehetra
        Sao ho nofy ihany izany ka misy fetra

Inona anefa no ’deha antenaiko
Mifendrofendro toa miha-kely ny aiko
Sao sanatria tsy fitiavana akory
Ty antsonao efa tsy mampatory

REF:

Nihazakazaka nitady anao
Sao tsy hiverina in-droa ny toa izao
Nisalasala toa manadala
Ahoana raha tsy tia ahy ianao
Inona ary no nitadiavanao
Tsy fombafombanao ny toy izao
sao zavatra hafa ilainao tafa


      Tsy ho any indray aho sao marin’izany
      Hahamenatra ahy ny ahita anao hitomany
      Ny tsara angamba dia aleo aho mody
      Ka manadino anao no fanafody

REF:

     Inona no hitadiavanao ahy


                                     Auteur:POOPY 
                                 Compositeur:NAIVO        --------"
15,poopy,"Nandalo teto nitady hono ianao
Nidobodoboka ny foko injao
Ho to ihany ve ilay faniriko
Ka ho tia ahy ilay olona tiako
Izany izaho toa tsy mandia tany
Ka sady faly no toa te hitomany
Mihovitrovitra ny anaty rehetra
Ssao nofy ihany izany ka misy fetra

Inona anefa no ’ndeha ho antenaiko
Mifendrofeendro toa miha- kely ny aiko
Sao sanatria tsy fitiavana akory
Ty antsonao efa tsy mampatory

Nihazaakazaka aho hitady anao
Sao tsy hiverina in-droa ny toa izao
Nisalasala toa manadala 
Ahoana raha tsy tia ahy ianao?
Inona ary no nitadiavanao
Tsy fombafombanao ny toy izao
Sao zavatra hafa ilainao tafa

Tsy ho any indray aho sao marina izany
Hahamenatra ahy ny ho hitanao hitomany
Ny tsara angamba dia aleo aho mody
Ka manadino anao no fanafody.

Inona no itadiavanao ahy.

Poopy
Compositeur : Naivo        --------"
16,poopy,"Misomaritaka ao antsinan-trano, ao e
Misy mivolana fandranitana
Mifanavazana ao atsinanan-trano, ao e
Samy sorenan’ny fandranitana

Ny honohono sy ny hetraketraka
No mahatonga ny ady hipetraka
Toa mafy loha tsy hay tenenina, ô
Samy tsy manana fandeferana
Fa mafy hatoka, mafy sofina, lahy e
Samy milaza ho fanaperana

Ny honohono sy ny hetraketraka
No mahatonga ny ady hipetraka
Misy mihevitra ho teny marina
Ho tsy azo ampianarina

Ka ny eso mpahazo anao
Tondro-molotra atao anao adinoy
Ampandrio ny fanahinao
Ka ny soa sy ny tsara re no karohy

Misomaritaka ao antsinanan-trano
Mifanavazana ao atsinanan-trano
Aza miady e! Mifankatiava e!

Ny honohono sy ny hetraketraka
No mahatonga ny ady hipetraka
Koa ndeha hajaina ny filaminana
Sy ny fahamarinana

Anay tsy miady e!
Anay mitady e
Ny mahasoa
Ny tsara koa!


http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
17,poopy,"Ankizy maro milalao
Toa ravoravo tokoa
Lafatra izao fiainana izao
Ny hafaliana mameno ny fo

Mamy ny hatanaorana
Tsy foy tsy tianay hialana
Nefa mbola misy ihany
Ny mamy noho izany

Asa raha mba tsaroanao
Ireo kilalao izay fanao
Ireo tena tsara sy kanto
Raha diavolana ny andro

Diavolana ny andro
Indreo ankizy milalao
Diavolana ny andro
Inona ary no atao

Raha hiaina indray ny taloha
Ilay fahazazana hifoha
Tadidy tsara tsy ho lany
Tsaroana eto androany

Jereo anie dadabe
Voadidin’ny ankizy marobe
Mitantara angano mahavariana
Iza mihaino sondriana

http://www.multimania.com/schmilblik/ANDAOHANDIHY.html        --------"
18,poopy,"Ny tahotra ny Tompo Andriamanitra
No fiatomboam-pahendrena haharitra
Ny tenin'olonkendry dia voalanjany
Ny adala no tsy mandanja izay ambarany

izay rehetra mino an'Andriamanitra
Dia mahalala tsara izay voafaritra
Fa mila mahafantatra ny Teniny
Mba tsy ho diso lalana any

Chorus:
Fa tsy misy very izay rehetra mandeha
Amin'iny lalana mahitsy iny anie
koa dieny izao raha mbola velona tsy tara ianao
Miandry anao ny Tompo tia

Toa lasa mahavariana, mahatalanjona ery
Ny zaca-bitantsika ety an-tany ety
Fa ilay fandalovan'i Kristy tety
Zary adino, toa ny tsinotsinona ery

Nefa Izy no ilay Teny tsy mivadika
Izy no sady Toky sy Maharitra
Izy miandry anao halolo-tanana
Te handray ka hiara-dalana

Bridge:
Izy no ilay Teny tsy mivadika
Izy no Toky sy Maharitra
Izy miandry anao hiverina indray
Dieny izao dia tapao
Ho aiza moa no tianao

Auteur: Poopy
Compositeur/arrangeur: Naivo        --------"
19,poopy,"Ny tahotra ny tompo Andriamanitra
No fiantomboham-pahendrena haharitra
Ny tenin’olon-kendry dia voalanjany
Ny adala no tsy mandanja izay ambarany

Izay rehetra mino an’Andriamanitra
Dia mila mahalala tsara izay voafaritra
Fa mila mahafantatra ny teniny
Mba tsy ho diso lalana hania.

Ref: Fa tsy misy very izay rehetra mandeha
Raha @ iny lalana mahitsy iny anie
Koa dieny zao,raha mbola velona tsy tara ianao,
Miandry anao ny tompo tia.

Toa lasa mahavariana mahatalanjona ery
Ny zava-bitantsika ety an-tany ety
Fa ilay fandalovan’i Kristy tety
Toa zary adino toa ny tsinontsinona ery

Nefa, izy no ilay teny tsy mivadika
Izy no sady toky sy maharitra
Izy miandry anao hanolon-tanana
Dia handray ka hiara-dalana.

Ref....(x2)

Fa izy no teny tsy mivadika
Izy no toky sy maharitra
Izy miandry anao hiverina indray
Koa dieny zao dia tapaho
Ho aiza no tianao?

Ref...
Fa tsy misy very izay rehetra mandeha
Raha @ iny lalana mahitsy anie
Ka raha mbola velona tsy tara ianao
Miandry anao ny tompo tia

Miandry anao, ny tompo tia
Miandry anao.

POOPY        --------"
20,poopy,"DISO LALANA       

     Diso lalana aho hatramin’izay
     Nanalavitra anao
     Fa toa variana, varian’ny lavitra ny masoko
     Ka diso fijery anao
     Izaho nihevitra fa hatrizay
     Izay fananana no voninahitra rehareha
     Mampidanadana izay rehetra aleha
            Ankehitriny zay vao tsapako
            Fa diso lalana aho
             Hay saro-bidy amiko
             Noho ny rehetra ianao
             Izay rehetra nananako
             Tsy nahataitra anao
              Satria ny fanahiko
              Efa tsy sitrakao
      Diso hevitra aho nanantena
      Fa ianao hanatona ahy
      Tsy ny fanahiko eny tsy ny tenako
       No natolotro ho porofom-pitiavana anao
       Izaho nanantena hanome
       Izay rehetra nety hahasambatra anao
       Saingy’lay tadiavinao tsy ananako
                Izao toa irery aho
                Toa zary latsa ho ahy
                 Ny fananako
                 Inay anie aho
                 Nisaina toa anao
                 Tsy irery toa izao f’ anilanao      (Poopy 1993)        --------"
21,poopy,"Izaho tsy miteny
Dia mody tsy mahalala ny ataonao
Kanefa anie ireny rehetra ireny
Nataoko tsy hilàna olana
Dia nangina aho eny e!
Toy ny tsy nahita
Na tratrako aza ianao io indraindray
Mahatsikaiky rehefa hita
Fa toy ny hoe tsy misy afa-tsy izaho iray
  
Eny e! izaho anie mahita
Izay rehetra mbola ataonao
Izany anefa tsy ho entiko migidra
Fa ianao foana no ho sahirana eo
Dia nangina aho eny e!
Mody tsy mahalala
Fa mbola misy hafa anie any
Variana aho fa ianao
Mihevitra ry tiana
F’izaho dia tsy mahay ny alehanao

  ref:Sao heverinao ho adala aho
      Malala tsy mahalala
      Fa izaho mikarakara hanatsara
      Ny any am-para
      Fa raha toa ka hoe mangina aho
      O tiana,aza araraotinao
      Sao tafahoatra lahy
      Fa izaho no mody adala, malala
      Zaho mahalala
      Ampy ho ahy ny fifaliana
      Tsy adala toa anao tiana
      Ireny toetra tsy valina
      Hangina aho
      Sao tsy ho zakanao 
      Ny valin’ny ataonao
Zaho anie tsy taitra 
Na hita fa tsy laitra izato toetranao
Nangina aho toa revo ery ianao
Mbola mihevitra f’izaho voarebirebinao
Toa mahaontsa eny e!
Ny mijery anao
Mitady lainga tsara lahatra
Isan’andro
Ny famihinao io
Raha mody manontany aho indraindray


Ianao mankàry,zaho mankery
Dia samy mody adala eo isika sy indry
Efa haiko io malala
Ianao koa mahalala
Ny tantara no hitsara rehefa any am-para!        --------"
22,poopy,"Falifaly ny aty
Falifaly tokoa
Ireo tanora mandihy
Fenofeno ny fo
Ravoravo izay tsy izy
Jejojeo sy sahy
Na lehibe na ankizy
Ireo izay tia manaraha

Hasakasakareo izay efa leo
Ny tsy hampiseho 
ny hafaliana ao am-ponareo
Ilay fo tanora entinay
Tsy ho avelanay
Hangatsiaka sy hangahiahy        --------"
23,poopy,"Enga anie ry Ray
Ny tora-po syny antsonay
Mba hifanojo amin’ny sitrakao
Ka ilay fahamarinanao
No apetrao anatinay mba tsy hiala aminay
Ny tananao , ny fitahianao

Enga anie ry Ray
Izay rehetra nataonay
Tsy hanisanao ny fahotanay
Tsy misy ho antenaina raha toy izay
Ny fitsarana ho entinao
Ka dia mivalo,ekeo ny fonay fa mitady anao 

Ka ny antso asandratray
Mba tsy hiala aminao
Ilay tany maminay ombay hatrany ilay fitiavanao
O!fantatray ry Ray
F’ianao no tompon’ny fanahy 

Koa raha sitrakao omeo ny tenanay tsirairay
Ary izay mpitondra atolotrao
Dia omenao saina ampahalalao
Fa fanompoana anao no ho tanterahiny
Ary ho taratry ny asanao ny adidiny sy anjarany

Sanatria ry Ray  
Tsy hifandahatra aminao
Fa faniriana ihany ny anay
Kanefa izay no sitrakao sy fantatrao hahasoa anay
Omeo ...Zahay mahatoky fa marina ny fitondranao

      Enga anie ry Ray 
      Ny tora-po sy ny antsonay
      Mba hifanojo amin’ny sitrakao
      K’ilay hafatrao hoe:
      ""Aza manahy fa izaho momba anareo""
      No ho ampinganay
      Satria tsy misy mandresy Anao.


AUTEUR:POOPY
COMPOSITEUR:NAIVO        --------"
24,poopy,"Lasa nidify teo ny lasa
Fa nisy kosa ihany soa napetrany
Lefy ny fiainana tsy tana
Ny holatry ny lasa
Mbola navelany
Fa ireo tsikin’ny omaly
Mbola namely tsiahy fahatsiarovana
Ireo holatry ny omaly
Efa nampianatra ahy izay ho lalana indray

Fa tsy misy ho afa-maina
Tsy maintsy mitaraina
Amin’ny fiainana
Fa ireo miloitra ihany
Mandresy ny tomany
No tafatsangana

Ny lasa tsy nety efa vita
No entina hanitsy ny fomba iainana
Ny nenina aza atao handatsa
Fa ento hampitraka
Mba ho mpandresy anao
Ny mangidy mbola ho mamy
Raha miloitra hatrany mitraka ianao
Ny sento ny vetson’ny omaly
Ny sento ny vetson’ny omaly
Tsy maintsy mbola hifaly sy hazava ho anao        --------"
25,poopy,"Soa tsy fantatrao ny tolona ao anatiko ao
Toa reko injao mitritra ny fanahiko
Soa fa raha tsy izany angamba mety ho gaga ianao
F’izaho ilay namanao nitia mangina anao


Ratsy fiantefa ny safidin’ny fo
Ka ny saina no hamafisina

Ny saiko mahalala fa tsy natao ho ahy ianao
Kanefa tsy mahasakana ity fo adalako
Mitempo mangina misento ho anao
Fitia voarara vao miantomboka

Soa fa nisy ihany fomba hihaonana aminao
Na fahoriana aza no aterany
Soa fa raha tsy izany angamba ho mafy noho izao
Ilay hirifiry izay nandrotindrotika

Ity foko no tsy mety fa manivaka
Ka ny saina no hamafisina.

http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
26,poopy,"Mba lazao ahy
Raha mety ho fantatrao
Nahoana moa ilay fitia
Izay lazaina ho tsara
No mampitalaho
Mampitanondrika anao
Lazao ahy, lazao ahy
Fa tsy fantatra

Fa nahoana moa
Raha toa ka tsara izy izao
No tsy maharitra, tsy miharitra
Fa mora mihofo
Ka mandratra anao
Manimba ny fiainanao
Nahoana lahy
Maninona no toa ekenao

Nefa rahoviana moa
Ny fiainana fitiavana
No tsy ho arahina
Sento sy tomany

Tsy ho hitanao
Ny lanjan’ny fiainanao
Raha toa ka tsy ho fantatrao
Izao rehetra izao

Teny tsotra toy izay no navalinao
Fitiavana, fitiavana
Io no fiainana

Efa hatry ny ela anie
Ny fitiavana
No ifandimbiasana
Sento sy tomany


Source: http://www.multimania.com/schmilblik/fitia.html        --------"
27,poopy,"Vonona aho , hizara aminao,
ny tena tsara indrindra izay ananako.

Toy ny nofy ihany , izao anio izao.
Fa tafahaona izao, ny tia sy ny manina.

Satry foana ho toy izao 
ny andro rehetra tsy hisy fetra.
Hiara-dalana aminao , tsy hifandao.

Inty aho hamalifaly anao.
Raiso ho anao ka hanjakao ho anao.

Izay tianao toa tiako raha teo.
Ny fontsika sy ianao mitempo ho iray, iray anio.

Satry foana ho toy izao ...

Manantena aho fa tonga ao am-ponao,
ny vetsom-poko izao ho anao.
Hifandimby eny ny andro,
hifandimby ny taona ,
izao anio izao raha sitrakao ,
aoka hitoetra fa tsy andao.

Mitovy ny fitia, mitovy eritreritra.
Fa metimety ery ilay fiarahana.

Ny fanirianay , tafita any aminao,
ny hafanan’ilay fitia izay nampifandray anay.
Satrinay ho toy izany ny andro rehetra , tsy hisy fetra.
Ho tafaraka aminao, tsy hifandao.

Ny fanirianay dia ho mandarakizay
no ahatsiarovanao izao ora izao,
ka raha tonga ny andro iray 
handaozanay anao,
izao hira izao kaloy hirao
ka hitoetra ao amponao.

Dia misaotra anao ho aho
noho izao rehetra izao,
ka ho rakitra tadidy ao am-poko ao.

Ny fanirianay ... ka hitoetra fa tsy andao.        --------"
28,poopy,"Gasy e.... Izay mikakatsaka ny Tsara a.
Gasy e....Iray ihany tsy mizarazara a



Aza simbana ny maha malagasy
Aza simbana amin’ny fanahy ratsy    ,
Aoka tsy   hiady f’iray ihany ity nosy,
Na samihafa fomfomba tsy mitovy.

Dia fihavanana, fifankatiavana,
No ahanfantarana ny tena malagasy,
Ny fahendreny koa tsy manam-paharoa,
Tsy mahamenatra ny maha malagasy

Iray ihany rehefa malagasy,
Iray aina ary koa iray vatsy,    
Aoka tsy loko no avela ampizara, 
Fa malagasy mikatsaka ny tsara.                                                                                  --------"
29,poopy,"Aza simbana ny maha malagasy
Aza simbana amin’ny fanahy ratsy
Aoka tsy hiady f’iray ihany ity nosy
Na samy hafa fombafomba tsy mitovy

Tia fihavanana
Fifankatiavana
No ahafantarana ny tena malagasy
Ny fahendreny koa
tsy manam-paharoa
Tsy mahamenatra ny maha-malagasy

Iray ihany rehefa malagasy
Iray aina ary koa iray vatsy
Aoka tsy loko no avela hampizara
Fa malagasy mikatsaka ny tsara

Source: http://www.multimania.com/schmilblik/fitia.html        --------"
30,poopy,"Io fa mipitrapitra
Tsy nahita
Mipitrapitra
Tsy nahita ô

Miherikerika etsy sy eroa
Midoboka amponga hendratrendratra ny fo
Angamba tsy ho avy iny andraso kely aloha
Hay mbola latsaka dimy ny amin’ny roa

Ny ho avy tsy ho avy no mifanditra ao an-doha
Nefa vao omaly ny omaly no nanao rendez-vous
Dify izao ilay ora dify tokoa
Andrasako ihany fa maninona moa

Raha vao tsinjoko avy lavitra hodiko tsy jerena
Angamba heveriny amin’ny telo ny fotoana nomena
Sa kosa misy embouteillage, ny andro moa tsena
K’aleo aloha ny tsiny tsy omena

Nankaiza nankaiza ikala anona iny
Ny famatarandro efa manondro amin’ny dimy
Ny hany azo atao dia ny misafosafo loha
Gina dia gina ity fa voa

Ginagina tsy nahita, ginagina teo!

http://www.multimania.com/schmilblik/ANDAOHANDIHY.html        --------"
31,poopy,"Misy ihany fitiavana,anatiny ao fa hafa endrika
fa ny ho azy aloha vao ny sisa rehetra manarakaraka
tiany ihany raha vitako izay tiany hatao
dia mba sambatsambatra
raha tsy manelingelina ny an-tsainy ao
mahatsiaro lafatra

raha ny tiany ny faniriany de izy mpanjakako
tsy mba diso tsy meloka izy
f’izao no adala raha to fo
o ouh o o
raha ny tiany ny faniriany de izaho mpanompony
manaiky mora foana ny didy lalana 
mampilamindamina
ny fiainany!        --------"
32,poopy,"Etsy hafarako kely ianao
Rah hikopak’elatra ho any
Etsy hafarako kely ianao
Mba jereo ilay tananako any
Etsy hafarako kely ianao
Raha hifindra lasy any ho any
Etsy hafarako kely ianao
Mba jereo hoe ireo havako any

Mba manao ahoana i dada sy neny
Ireo nahitako masoandro
Ny zanany aty dia manirery
Ka mahatsiaro sy manina
Na atoandro na alina
Ireo zandry malala tsy mba mahafoy
Manina anareo ireo tokana
Satriny foana mbola hihira ho anareo
Saingy tsy afaka manoatra
Fa tapi-dàlana aleha

Raha azona atao mba lalovy kely
Ilay toerana filalaovanay fony kely
Sao mbola mitoetra ny vetso-kafaliana
Mba ho eto aty mba ho ataoko ho
Fahatsiarovana



http://www.multimania.com/schmilblik/ANDAOHANDIHY.html        --------"
33,poopy,"Hiram-pitiavana hiraiko ho anao, entiko hisaorana anao
Tsy nanary ahy tamin’ny sarotra fa naneho fitiavana
Hiram-pitiavana hiraiko ho anao, ka hanavaozako indray
Ny efa niainan’ ny foko hatrizay dia ny mbola ho tia anao

Fitantarana ny zava-manjo, fihatahantako  ihany koa
Ny amin’izao sy ny ho avy koa, efa natokako ho anao

Hiram-pitiavana omeko anao, hanamafisako indray
Mandrapikipy ny masoko roa , ianao no tompon’ny fo        --------"
